Michael Keane,Everton,24,CB,18.0,England
Phil Jagielka,Everton,34,CB,2.0,England
Jordan Pickford,Everton,23,GK,15.0,England
Joel Robles,Everton,27,GK,5.0,Spain
Idrissa Gueye,Everton,27,CM,18.0,Senegal
Wayne Rooney,Everton,31,SS,15.0,England
Ramiro Funes Mori,Everton,26,CB,12.0,Argentina
Maarten Stekelenburg,Everton,34,GK,2.0,Netherlands
Gareth Barry,Everton,36,DM,1.5,England
Tom Davies,Everton,19,CM,8.0,England
Mason Holgate,Everton,20,CB,5.0,England
Yannick Bolasie,Everton,28,LW,20.0,Congo DR
Morgan Schneiderlin,Everton,27,DM,22.0,France
Cuco Martina,Everton,27,RB,2.0,Curacao
James McCarthy,Everton,26,CM,15.0,Ireland
Aaron Lennon,Everton,30,RW,5.0,England
Dominic Calvert-Lewin,Everton,20,SS,3.5,England
Ademola Lookman,Everton,19,LW,5.0,England
Matthew Pennington,Everton,22,CB,0.5,England
Jonjoe Kenny,Everton,20,RB,0.25,England
Muhamed Besic,Everton,24,DM,5.0,Germany
Davy Klaassen,Everton,24,AM,18.0,Netherlands
Sandro Ramirez,Everton,22,CF,10.0,Spain
Joel Coleman,Huddersfield,21,GK,0.25,England
Jonas Lossl,Huddersfield,28,GK,1.5,Denmark
Christopher Schindler,Huddersfield,27,CB,2.0,Germany
Chris Lowe,Huddersfield,28,LB,1.5,Germany
Tommy Smith,Huddersfield,25,RB,2.0,England
Michael Hefele,Huddersfield,26,CB,1.5,Germany
Martin Cranie,Huddersfield,30,CB,0.5,England
Jon Gorenc Stankovic,Huddersfield,21,CB,0.5,Slovenia
Mark Hudson,Huddersfield,35,CB,0.5,England
Mathias Jorgensen,Huddersfield,27,CB,2.5,Denmark
Scott Malone,Huddersfield,26,LB,0.75,England
Aaron Mooy,Huddersfield,26,CM,5.0,Australia
Rajiv van La Parra,Huddersfield,26,LW,2.0,Netherlands
Jonathan Hogg,Huddersfield,28,CM,1.0,England
Philip Billing,Huddersfield,21,CM,0.5,Denmark
Joe Lolley,Huddersfield,24,RW,0.25,England
Jack Payne,Huddersfield,25,CM,0.25,England
Dean Whitehead,Huddersfield,35,CM,0.25,England
Harry Bunn,Huddersfield,24,LW,0.5,England
Sean Scannell,Huddersfield,26,RW,0.5,Ireland
Elias Kachunga,Huddersfield,25,RW,3.5,Congo DR
Tom Ince,Huddersfield,25,RW,7.0,England
Kasey Palmer,Huddersfield,20,AM,0.75,England
Andy Williams,Huddersfield,26,CB,0.65,Trinidad and Tobago
Nahki Wells,Huddersfield,27,CF,5.0,Bermuda
Collin Quaner,Huddersfield,26,CF,1.0,Germany
Laurent Depoitre,Huddersfield,28,CF,3.0,Belgium
Steve Mounie,Huddersfield,22,CF,5.5,Benin
Jamie Vardy,Leicester+City,30,CF,15.0,England
Riyad Mahrez,Leicester+City,26,RW,30.0,Algeria
Kasper Schmeichel,Leicester+City,30,GK,10.0,Denmark
Christian Fuchs,Leicester+City,31,LB,6.0,Austria
Marc Albrighton,Leicester+City,27,LM,6.0,England
Robert Huth,Leicester+City,32,CB,5.0,Germany
Danny Simpson,Leicester+City,30,RB,5.0,England
Islam Slimani,Leicester+City,29,CF,25.0,Algeria
Harry Maguire,Leicester+City,24,CB,8.0,England
Danny Drinkwater,Leicester+City,27,CM,9.0,England
Wes Morgan,Leicester+City,33,CB,3.0,Jamaica
Shinji Okazaki,Leicester+City,31,CF,7.0,Japan
Wilfred Ndidi,Leicester+City,20,DM,14.0,Nigeria
Demarai Gray,Leicester+City,21,LW,9.0,England
Daniel Amartey,Leicester+City,22,DM,5.0,Ghana
Andy King,Leicester+City,28,CM,3.0,Wales
Ahmed Musa,Leicester+City,24,CF,17.0,Nigeria
Yohan Benalouane,Leicester+City,30,CB,1.0,Tunisia
Leonardo Ulloa,Leicester+City,30,CF,6.0,Argentina
Ben Chilwell,Leicester+City,20,LB,2.5,England
Nampalys Mendy,Leicester+City,25,DM,10.0,France
Ben Hamer,Leicester+City,29,GK,0.5,England
Molla Wague,Leicester+City,26,CB,1.5,Mali
Vicente Iborra,Leicester+City,29,DM,9.0,Spain
Roberto Firmino,Liverpool,25,SS,38.0,Brazil
Philippe Coutinho,Liverpool,25,AM,45.0,Brazil
Sadio Mane,Liverpool,25,LW,40.0,Senegal
Georginio Wijnaldum,Liverpool,26,CM,28.0,Netherlands
James Milner,Liverpool,31,CM,12.0,England
Adam Lallana,Liverpool,29,AM,25.0,England
Nathaniel Clyne,Liverpool,26,RB,21.0,England
Simon Mignolet,Liverpool,29,GK,12.0,Belgium
Dejan Lovren,Liverpool,28,CB,17.0,Croatia
Emre Can,Liverpool,23,DM,15.0,Germany
Joel Matip,Liverpool,25,CB,25.0,Cameroon
Divock Origi,Liverpool,22,CF,12.0,Belgium
Jordan Henderson,Liverpool,27,CM,28.0,England
Daniel Sturridge,Liverpool,27,CF,20.0,England
Lucas Leiva,Liverpool,30,DM,7.0,Brazil
Ragnar Klavan,Liverpool,31,CB,3.5,Estonia
Mamadou Sakho,Liverpool,27,CB,15.0,France
Loris Karius,Liverpool,24,GK,8.0,Germany
Trent Alexander-Arnold,Liverpool,18,RB,1.5,England
Alberto Moreno,Liverpool,25,LB,10.0,Spain
Ben Woodburn,Liverpool,17,LW,1.5,Wales
Marko Grujic,Liverpool,21,CM,5.0,Serbia
Joe Gomez,Liverpool,20,CB,4.0,England
Sheyi Ojo,Liverpool,20,LW,2.0,England
Mohamed Salah,Liverpool,25,RW,35.0,Egypt
Danny Ings,Liverpool,24,CF,8.0,England
Dominic Solanke,Liverpool,19,CF,2.0,England
Kevin De Bruyne,Manchester+City,26,AM,65.0,Belgium
Sergio Aguero,Manchester+City,29,CF,65.0,Argentina
Raheem Sterling,Manchester+City,22,LW,45.0,England
Kyle Walker,Manchester+City,27,RB,30.0,England
David Silva,Manchester+City,31,AM,30.0,Spain
Leroy Sane,Manchester+City,21,LW,35.0,Germany
Nicolas Otamendi,Manchester+City,29,CB,30.0,Argentina
Aleksandar Kolarov,Manchester+City,31,LB,10.0,Serbia
Yaya Toure,Manchester+City,34,CM,8.0,Cote d'Ivoire
Fernandinho,Manchester+City,32,DM,18.0,Brazil
Claudio Bravo,Manchester+City,34,GK,8.0,Chile
Gabriel Jesus,Manchester+City,20,CF,30.0,Brazil
John Stones,Manchester+City,23,CB,35.0,England
Vincent Kompany,Manchester+City,31,CB,22.0,Belgium
Kelechi Iheanacho,Manchester+City,20,CF,15.0,Nigeria
Ilkay Gundogan,Manchester+City,26,CM,30.0,Germany
Fernando,Manchester+City,32,DM,18.0,Brazil
Fabian Delph,Manchester+City,27,CM,8.0,England
Ederson Moraes,Manchester+City,23,GK,22.0,Brazil
Bernardo Silva,Manchester+City,22,RW,40.0,Portugal
Romelu Lukaku,Manchester+United,24,CF,50.0,Belgium
David de Gea,Manchester+United,26,GK,40.0,Spain
Antonio Valencia,Manchester+United,31,RB,10.0,Ecuador
Paul Pogba,Manchester+United,24,CM,75.0,France
Eric Bailly,Manchester+United,23,CB,30.0,Cote d'Ivoire
Juan Mata,Manchester+United,29,AM,30.0,Spain
Daley Blind,Manchester+United,27,LB,22.0,Netherlands
Ander Herrera,Manchester+United,27,CM,30.0,Spain
Anthony Martial,Manchester+United,21,CF,30.0,France
Marcos Rojo,Manchester+United,27,CB,18.0,Argentina
Marcus Rashford,Manchester+United,19,CF,18.0,England
Henrikh Mkhitaryan,Manchester+United,28,AM,35.0,Armenia
Matteo Darmian,Manchester+United,27,RB,12.0,Italy
Jesse Lingard,Manchester+United,24,LW,12.0,England
Phil Jones,Manchester+United,25,CB,14.0,England
Chris Smalling,Manchester+United,27,CB,18.0,England
Marouane Fellaini,Manchester+United,29,CM,12.0,Belgium
Luke Shaw,Manchester+United,22,LB,20.0,England
Michael Carrick,Manchester+United,35,DM,1.5,England
Ashley Young,Manchester+United,32,LM,5.0,England
Sergio Romero,Manchester+United,30,GK,6.0,Argentina
Axel Tuanzebe,Manchester+United,19,CB,1.0,England
Timothy Fosu-Mensah,Manchester+United,19,DM,2.5,Netherlands
Joel Castro Pereira,Manchester+United,21,GK,0.1,Portugal
Victor Lindelof,Manchester+United,23,CB,22.0,Sweden
Rob Elliot,Newcastle+United,31,GK,1.0,Ireland
Karl Darlow,Newcastle+United,26,GK,4.5,England
DeAndre Yedlin,Newcastle+United,24,RB,5.0,United States
Ciaran Clark,Newcastle+United,27,CB,5.0,Ireland
Lascelles,Newcastle+United,27,CB,5.0,England
Paul Dummett,Newcastle+United,25,LB,3.5,Wales
Grant Hanley,Newcastle+United,25,CB,4.5,Scotland
Jesus Gamez,Newcastle+United,32,RB,2.5,Spain
Florian Lejeune,Newcastle+United,26,CB,5.0,France
Massadio Haidara,Newcastle+United,24,LB,1.5,France
Matt Ritchie,Newcastle+United,27,RM,9.0,Scotland
Jonjo Shelvey,Newcastle+United,25,CM,11.0,England
Mohamed Diame,Newcastle+United,30,CM,6.0,Senegal
Jack Colback,Newcastle+United,27,DM,5.0,England
Christian Atsu,Newcastle+United,25,RW,5.0,Ghana
Siem de Jong,Newcastle+United,28,AM,5.5,Netherlands
Rolando Aarons,Newcastle+United,21,LW,0.75,England
Dwight Gayle,Newcastle+United,26,CF,10.0,England
Ayoze Perez,Newcastle+United,23,SS,8.0,Spain
Aleksandar Mitrovic,Newcastle+United,22,CF,10.0,Serbia
Daryl Murphy,Newcastle+United,34,CF,1.5,Ireland
Fraser Forster,Southampton,29,GK,15.0,England
Nathan Redmond,Southampton,23,RW,15.0,England
Ryan Bertrand,Southampton,27,LB,20.0,England
DuÅ¡an TadiÄ‡,Southampton,28,LW,17.0,Portugal
Cedric Soares,Southampton,25,RB,15.0,Portugal
James Ward-Prowse,Southampton,22,CM,15.0,England
Oriol Romeu,Southampton,25,DM,10.0,Spain
Maya Yoshida,Southampton,28,CB,5.0,Japan
Steven Davis,Southampton,32,CM,6.0,Northern Ireland
Virgil van Dijk,Southampton,26,CB,30.0,Netherlands
Charlie Austin,Southampton,28,CF,13.0,England
Jack Stephens,Southampton,23,CB,3.5,England
Shane Long,Southampton,30,CF,9.0,Ireland
Sofiane Boufal,Southampton,23,AM,15.0,Morocco
Jordy Clasie,Southampton,26,DM,10.0,Netherlands
Pierre-Emile Hojbjerg,Southampton,21,CM,8.0,Denmark
